[2026-02-15T21:05:44.026Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"dd006c80-4f5e-4efe-a609-b9d45d5e034e","userName":"brave-green","roomId":"06c299dd-a891-4dba-a991-0946969fd43f","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:05:47.434Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"dd006c80-4f5e-4efe-a609-b9d45d5e034e","userName":"brave-green","roomId":"06c299dd-a891-4dba-a991-0946969fd43f","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:06:02.307Z] [INFO] [ROOM_CREATED] Room created | {"roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","ownerId":"539564d0-de3a-4ada-beff-23addecc1279","ownerName":"happy-lime"}
[2026-02-15T21:06:02.596Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:06:04.156Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest"}
[2026-02-15T21:06:04.156Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true}
[2026-02-15T21:07:16.243Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:07:16.245Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:08:25.297Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:08:25.395Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:08:25.994Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:11:08.964Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
